Article #,Abstract ChatGPT,Full Text ChatGPT ,Abstract Reading Ease,Full Text Reading Ease,Abstract Grade Score,Full Text Grade Score,Abstract Faithfulness,Full Text Faithfulness,Grader 1,Grader 2,Grader 3,Grader 4,Grader 5,Mean Human Grade Score,Standard Deviation Human Grade Score,Rater 1,Rater 2,Rater 3 ,Rater 4,Rater 5,Mean Human Accuracy Rating,Standard Deviation of Human Accuracy Rating
28,6,7,80.55333949,66.69749737,5.216052529,9.536438356,0.833333333,0.958333333,4,5,4,4,,4.25,0.5,7,8,3,4,,5.5,2.380476143
29,6,8,76.03532207,59.7057724,6.158067557,10.16925889,0.814814815,0.904761905,5,6,7,7,,6.25,0.957427108,7,9,4,9,,7.25,2.362907813
30,6,8,74.75227273,65.98,6.736753247,9.025,0.913043478,0.583333333,3,4,,,,3.5,0.707106781,8,7,,,,7.5,0.707106781
31,6,6,74.92502834,60.55140316,6.190170068,10.00802372,0.9,1,5,4,8,,,5.666666667,2.081665999,5,8,7,,,6.666666667,1.527525232
32,5,7,83.85357143,76.64625,5.041428571,7.040416667,0.944444444,0.709677419,3,6,5,,,4.666666667,1.527525232,7,10,7,,,8,1.732050808
33,6,8,79.75538462,73.61336923,5.364615385,7.7692,0.684210526,0.533333333,7,2,8,,,5.666666667,3.214550254,8,6,8,,,7.333333333,1.154700538
34,6,7,86.08247376,72.42661197,4.0716675,7.753185328,0.851851852,0.875,6,3,4,,,4.333333333,1.527525232,7,9,9,,,8.333333333,1.154700538
35,6,8,75.98977778,71.03389726,6.110666667,8.79209589,1,1,10,5,4,,,6.333333333,3.214550254,8,8,6,,,7.333333333,1.154700538
36,6,8,81.82415254,67.26008722,6.034285714,9.998255619,1,0.857142857,8,4,8,5,,6.25,2.061552813,7,10,6,7,,7.5,1.732050808
37,6,8,70.19755238,69.63464606,6.50577391,7.857647059,0.916666667,0.892857143,2,10,,,,6,5.656854249,3,7,,,,5,2.828427125
38,5,9,66.03648405,61.98898601,7.565779691,8.817272727,0.892857143,0.888888889,3,3,,,,3,0,8,7,,,,7.5,0.707106781
39,5,8,64.19121622,77.043919,9.558416988,6.030463706,0.964285714,1,5,6,,,,5.5,0.707106781,7,8,,,,7.5,0.707106781
40,6,7,77.02829575,76.47074519,7.033709192,7.4853125,0.130434783,0.869565217,6,7,,,,6.5,0.707106781,6,6,,,,6,0
41,,,66.57841065,73.47311097,7.989226804,7.006852332,0.866666667,1,,,,,,,,,,,,,,
42,,,70.21,71.26826376,8.435,6.942960152,0.764705882,0.619047619,,,,,,,,,,,,,,
43,,,68.10514259,68.23782609,8.426922868,9.455362319,0.944444444,0.833333333,,,,,,,,,,,,,,
44,,,71.95292193,73.16451244,8.344776119,7.492925373,0.913043478,0.913043478,,,,,,,,,,,,,,
45,,,72.60802792,75.67874626,8.025994924,7.320280269,0.928571429,0.933333333,,,,,,,,,,,,,,
46,,,79.19247583,73.06607407,6.057662012,7.092609053,1,0.961538462,,,,,,,,,,,,,,
47,,,70.2025,68.15963636,7.460079365,8.124757576,0.875,0.842105263,,,,,,,,,,,,,,
48,,,75.94296907,69.52123188,7.486309278,7.37173913,0.684210526,0.818181818,,,,,,,,,,,,,,
49,,,69.9175,69.9316,7.677279635,7.941485714,0.782608696,0.85,,,,,,,,,,,,,,
50,,,67.68163403,71.19625579,8.55579021,8.087228916,0.954545455,0.941176471,,,,,,,,,,,,,,
51,,,70.2235447,70.15735632,7.706936937,8.276724138,0.947368421,1,,,,,,,,,,,,,,
52,,,58.71409091,66.66104985,11.43867827,8.702281659,0.615384615,1,,,,,,,,,,,,,,
53,,,74.35794118,67.66057143,5.518300654,6.604428571,0.888888889,1,,,,,,,,,,,,,,
